gaia_source_id,hyg_id,constellation
4.464181177739337e+18,117861,Peg
4.4640573452421043e+18,117950,Peg
5.781848144538345e+18,117877,Tuc
4.464059028869284e+18,117861,Peg
6.680593690720673e+18,117923,Phe
5.836232704174197e+18,117881,Phe
4.650803966390059e+18,117822,Tuc
4.46422818186196e+18,117950,Peg
5.781846426551165e+18,117877,Tuc
4.4642191796105057e+18,117950,Peg
6.680753807101407e+18,117944,Scl
5.78189621381298e+18,117877,Tuc
4.464231201221517e+18,117950,Peg
4.4641802500264e+18,117861,Peg
5.800603957510113e+18,117954,Tuc
4.4642405513679227e+18,117950,Peg
4.4642376307901604e+18,117950,Peg
6.680719374346642e+18,117944,Scl
5.781879858577093e+18,117877,Tuc
6.680694502192921e+18,117923,Phe
5.800597222998582e+18,117954,Tuc
5.781879996016046e+18,117877,Tuc
4.4642163277522217e+18,117950,Peg
5.800597635315596e+18,117954,Tuc
5.800578909257098e+18,117954,Tuc
4.4641659220156657e+18,117861,Peg
5.78182371476384e+18,117877,Tuc
4.144464911846543e+18,117947,Cet
5.833477156185717e+18,117878,Tuc
6.003846998253924e+18,117923,Phe
5.40842657667554e+18,117887,Phe
5.408455713734558e+18,117887,Phe
2.0650836352791695e+18,117901,And
2.0472424141690803e+18,117948,And
4.1503744775471785e+18,117879,Cet
1.8723074684774042e+18,117929,And
2.047231212893393e+18,117948,And
5.408446986361357e+18,117887,Phe
5.408471072537589e+18,117887,Phe
4.150372931357925e+18,117879,Cet
1.8723211436534912e+18,117929,And
5.833476881307812e+18,117878,Tuc
5.408454167546454e+18,117887,Phe
2.065099410701077e+18,117901,And
5.408423965335536e+18,117887,Phe
6.00386455608029e+18,119613,Phe
5.408459355866819e+18,117887,Phe
5.408445989928944e+18,117887,Phe
5.408424755609404e+18,117887,Phe
1.872294171257905e+18,117929,And
6.003882423144386e+18,119613,Phe
5.408451075170078e+18,117887,Phe
2.0472229321958973e+18,117948,And
2.0650752515052503e+18,117901,And
2.0472423798093778e+18,117948,And
2.0472205613739784e+18,117948,And
4.464043395188532e+18,117861,Peg
6.725826637054928e+18,117944,Scl
4.4642254330828923e+18,117950,Peg
5.781831686223269e+18,117877,Tuc
6.6806843274135e+18,117944,Scl
4.4640364845840886e+18,117861,Peg
4.4642197250685046e+18,117950,Peg
5.800594474219653e+18,117954,Tuc
5.800585643766432e+18,117954,Tuc
6.680718687151876e+18,117944,Scl
4.4641632419560694e+18,117861,Peg
5.781849725086321e+18,117877,Tuc
5.781846426551166e+18,117877,Tuc
4.464132215112053e+18,117861,Peg
6.680718893310306e+18,117944,Scl
4.464042982871671e+18,117861,Peg
4.464002850697038e+18,117950,Peg
6.6807455607642e+18,117944,Scl
5.800602857998483e+18,117954,Tuc
4.4642164952530964e+18,117950,Peg
4.464232506891573e+18,117950,Peg
5.800583960139089e+18,117954,Tuc
4.46403659196032e+18,117861,Peg
4.650815373835696e+18,117822,Tuc
6.680780023581774e+18,117944,Scl
4.4642260515581855e+18,117950,Peg
4.464164135309269e+18,117861,Peg
5.800580382401421e+18,117954,Tuc
6.680755044052002e+18,117944,Scl
6.680751711157371e+18,117944,Scl
5.833480695238986e+18,117878,Tuc
1.872317772088812e+18,117929,And
6.003879055890255e+18,119613,Phe
1.872289257815626e+18,117929,And
1.8723024132857078e+18,117929,And
4.144477070801698e+18,117947,Cet
2.065086766316785e+18,117901,And
2.0650836052213455e+18,117901,And
1.8723023789259692e+18,117929,And
2.065089858693266e+18,117901,And
2.0472117996404516e+18,117948,And
5.408445165295306e+18,117887,Phe
1.8722987367937403e+18,117929,And
1.8722955112877e+18,117929,And
2.0651062482886072e+18,117901,And
6.003864349922233e+18,119613,Phe
6.0038630442518e+18,119613,Phe
6.003864246843023e+18,119613,Phe
1.872328153040362e+18,117929,And
6.003864315562494e+18,119613,Phe
5.836226210182827e+18,117881,Phe
4.46418774044945e+18,117861,Peg
4.4641877060897116e+18,117861,Peg
4.46419897178653e+18,117950,Peg
4.4640041220073687e+18,117950,Peg
5.781819694674491e+18,117877,Tuc
5.836220884422665e+18,117881,Phe
4.464234057377323e+18,117950,Peg
6.725829591991665e+18,117944,Scl
