gaia_source_id,hyg_id,constellation_x,source_id,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,constellation_y,constellation,id,hip,hd,hr,gl,bf,proper,dist,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,cluster_label
5.800591068302183e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800603957510126e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800587052515721e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800597841473875e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800586159162469e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800591794159754e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800602686199803e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800600177936323e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800588117667457e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800594920896257e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800579630811774e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.80058701815597e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800597944553094e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800578737458398e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800596845041451e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.80060375135169e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800587121235183e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800586537119629e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800599525101289e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800580352366274e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800584441175525e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800597016840147e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
2.047237741243941e+18,117913,,,23.991472,33.723878,-59.03,-104.99,,,,,,,,And,117913.0,118281.0,224635.0,9074.0,GJ 4384A,,,28.9268,-7.6,5.81,3.503,F8,0.539,24.058963,-0.053726,16.059864,1.69e-06,-8.28e-06,-1.656e-05,6.280952688876738,0.5885927031985237,-2.861855156e-07,-5.09005883e-07,,,And,1.0,117913.0,GJ 4384,3.4578010353230573,,,,1
5.800581898554356e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
2.047237187167744e+18,117913,,,23.991472,33.723878,-59.03,-104.99,,,,,,,,And,117913.0,118281.0,224635.0,9074.0,GJ 4384A,,,28.9268,-7.6,5.81,3.503,F8,0.539,24.058963,-0.053726,16.059864,1.69e-06,-8.28e-06,-1.656e-05,6.280952688876738,0.5885927031985237,-2.861855156e-07,-5.09005883e-07,,,And,1.0,117913.0,GJ 4384,3.4578010353230573,,,,1
5.800601655407601e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800598425589599e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800585575029838e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
2.047236946649578e+18,117913,,,23.991472,33.723878,-59.03,-104.99,,,,,,,,And,117913.0,118281.0,224635.0,9074.0,GJ 4384A,,,28.9268,-7.6,5.81,3.503,F8,0.539,24.058963,-0.053726,16.059864,1.69e-06,-8.28e-06,-1.656e-05,6.280952688876738,0.5885927031985237,-2.861855156e-07,-5.09005883e-07,,,And,1.0,117913.0,GJ 4384,3.4578010353230573,,,,1
5.800588667423436e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800579046696069e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800585471967593e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800598288150488e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800598253790751e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800587293033899e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800588014588238e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800579390293591e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800587980228502e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
